Report Number,URL,Congress,Accompanies,Title,Committee
H. Rept. 118-270,https://www.congress.gov/congressional-report/118th-congress/house-report/270/1,118th Congress (2023-2024),H.R. 5961,NO FUNDS FOR IRANIAN TERRORISM ACT,House Foreign Affairs
H. Rept. 118-269,https://www.congress.gov/congressional-report/118th-congress/house-report/269/1,118th Congress (2023-2024),H.Res. 847,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 4664) MAKING APPROPRIATIONS FOR FINANCIAL SERVICES AND GENERAL GOVERNMENT FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2024, AND FOR OTHER PURPOSES",House Rules
H. Rept. 118-268,https://www.congress.gov/congressional-report/118th-congress/house-report/268/1,118th Congress (2023-2024),H.R. 1318,WOMEN'S SUFFRAGE NATIONAL MONUMENT LOCATION ACT,House Natural Resources
H. Rept. 118-267,https://www.congress.gov/congressional-report/118th-congress/house-report/267/1,118th Congress (2023-2024),H.R. 2717,"HERSHEL ""WOODY"" WILLIAMS NATIONAL MEDAL OF HONOR MONUMENT LOCATION ACT",House Natural Resources
H. Rept. 118-266,https://www.congress.gov/congressional-report/118th-congress/house-report/266/1,118th Congress (2023-2024),H.R. 3448,AMERICAN BATTLEFIELD PROTECTION PROGRAM NHANCEMENT ACT OF 2023,House Natural Resources
H. Rept. 118-265,https://www.congress.gov/congressional-report/118th-congress/house-report/265/1,118th Congress (2023-2024),H.R. 1722,GRAND RONDE RESERVATION ACT AMENDMENT OF 2023,House Natural Resources
H. Rept. 118-264,https://www.congress.gov/congressional-report/118th-congress/house-report/264/1,118th Congress (2023-2024),H.R. 1607,"TO CLARIFY JURISDICTION WITH RESPECT TO CERTAIN BUREAU OF RECLAMATION PUMPED STORAGE DEVELOPMENT, AND FOR OTHER PURPOSES",House Natural Resources
H. Rept. 118-263,https://www.congress.gov/congressional-report/118th-congress/house-report/263/1,118th Congress (2023-2024),H.R. 359,FORT SAN GERONIMO PRESERVATION ACT,House Natural Resources
H. Rept. 118-262,https://www.congress.gov/congressional-report/118th-congress/house-report/262/1,118th Congress (2023-2024),H.R. 5734,TO AMEND THE FEDERAL ELECTION CAMPAIGN ACT OF 1971 TO EXTEND THE ADMINISTRATIVE FINE PROGRAM FOR CERTAIN REPORTING VIOLATIONS,Committee on House Administration
H. Rept. 118-261,https://www.congress.gov/congressional-report/118th-congress/house-report/261/1,118th Congress (2023-2024),H.Res. 838,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 4821) MAKING APPROPRIATIONS FOR THE DEPARTMENT OF THE INTERIOR, ENVIRONMENT, AND RELATED AGENCIES FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2024, AND FOR OTHER PURPOSES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 4820) MAKING APPROPRIATIONS FOR THE DEPARTMENTS OF TRANSPORTATION, AND HOUSING AND URBAN DEVELOPMENT, AND RELATED AGENCIES FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2024, AND FOR OTHER PURPOSES; AND PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 6126) MAKING EMERGENCY SUPPLEMENTAL APPROPRIATIONS TO RESPOND TO THE ATTACKS IN ISRAEL FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2024, AND FOR OTHER PURPOSES",House Rules
H. Rept. 118-260,https://www.congress.gov/congressional-report/118th-congress/house-report/260/1,118th Congress (2023-2024),H.R. 4527,"HEALTH DATA ACCESS, TRANSPARENCY, AND AFFORDABILITY ACT OF 2023",House Education and the Workforce
H. Rept. 118-259,https://www.congress.gov/congressional-report/118th-congress/house-report/259/1,118th Congress (2023-2024),H.R. 4508,HIDDEN FEE DISCLOSURE ACT OF 2023,House Education and the Workforce
H. Rept. 118-258,https://www.congress.gov/congressional-report/118th-congress/house-report/258/1,118th Congress (2023-2024),H.R. 4509,TRANSPARENCY IN BILLING ACT OF 2023,House Education and the Workforce
H. Rept. 118-257,https://www.congress.gov/congressional-report/118th-congress/house-report/257/1,118th Congress (2023-2024),H.R. 4693,TENNESSEE VALLEY AUTHORITY SALARY TRANSPARENCY ACT,House Transportation and Infrastructure
H. Rept. 118-256,https://www.congress.gov/congressional-report/118th-congress/house-report/256/1,118th Congress (2023-2024),H.R. 5721,RAPE KIT BACKLOG PROGRESS ACT OF 2023,House Judiciary
H. Rept. 118-255,https://www.congress.gov/congressional-report/118th-congress/house-report/255/1,118th Congress (2023-2024),H.R. 5349,CRUCIAL COMMUNISM TEACHING ACT,House Education and the Workforce
H. Rept. 118-254,https://www.congress.gov/congressional-report/118th-congress/house-report/254/1,118th Congress (2023-2024),H.R. 4957,DEPARTMENT OF LABOR SUCCESSION ACT,House Education and the Workforce
H. Rept. 118-253,https://www.congress.gov/congressional-report/118th-congress/house-report/253/1,118th Congress (2023-2024),H.J.Res. 88,"PROVIDING FOR CONGRESSIONAL DISAPPROVAL UNDER CHAPTER 8 OF TITLE 5, UNITED STATES CODE, OF THE RULE SUBMITTED BY THE DEPARTMENT OF EDUCATION RELATING TO ""IMPROVING INCOME DRIVEN REPAYMENT FOR THE WILLIAM D. FORD FEDERAL DIRECT LOAN PROGRAM AND THE FEDERAL FAMILY EDUCATION LOAN (FFEL) PROGRAM""",House Education and the Workforce
